Depth (M),Temp (deg C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance,Fluorescence (mg/m^3),Turbidity (NTU),Beam Attenuation,Oxygen (umol/kg),Oxygen (% sat)
16.022,11.3651,32.9566,25.1196,3.47E+01,0.9392,0.4105,0.7745,215.795,79.728
16.144,11.367,32.9562,25.1189,3.47E+01,0.9376,0.3933,0.775,215.918,79.776
16.505,11.3691,32.9585,25.1203,3.25E+01,0.9315,0.3193,0.775,215.289,79.549
17.032,11.3694,32.959,25.1207,2.94E+01,0.9376,0.3247,0.7717,214.436,79.234
17.482,11.3702,32.9598,25.1212,2.74E+01,1.0368,0.4109,0.7721,214.935,79.42
17.694,11.3698,32.9615,25.1225,2.66E+01,1.0361,0.4105,0.7833,216.358,79.947
17.793,11.3695,32.9606,25.1219,2.59E+01,1.0361,0.3933,0.7834,217.628,80.415
18.003,11.3699,32.9615,25.1226,2.48E+01,1.0368,0.3922,0.7833,217.531,80.38
18.384,11.3692,32.9649,25.1253,2.33E+01,1.0162,0.3579,0.7868,216.671,80.063
18.85,11.3678,32.9685,25.1284,2.14E+01,1.0124,0.3499,0.7877,216.114,79.857
19.246,11.3672,32.9702,25.1298,1.97E+01,1.062,0.3869,0.7851,215.917,79.784
19.496,11.3668,32.9722,25.1315,1.88E+01,1.0849,0.4044,0.7881,215.76,79.727
19.655,11.3669,32.9722,25.1314,1.84E+01,1.0849,0.3808,0.7929,214.877,79.4
19.825,11.3667,32.9733,25.1323,1.80E+01,1.0849,0.3617,0.7927,213.511,78.896
20.072,11.3665,32.9744,25.1333,1.73E+01,1.1162,0.3644,0.7928,212.61,78.564
20.425,11.3666,32.9745,25.1333,1.62E+01,1.1581,0.3678,0.79,212.971,78.697
20.817,11.3664,32.9749,25.1337,1.51E+01,1.1314,0.3754,0.7914,214.474,79.252
21.217,11.3665,32.9757,25.1343,1.41E+01,1.0727,0.3926,0.7934,215.86,79.765
21.597,11.3668,32.9779,25.136,1.32E+01,1.075,0.3926,0.7968,216.398,79.966
21.879,11.3684,32.9802,25.1374,1.24E+01,1.0849,0.3926,0.7981,216.142,79.875
22.107,11.3701,32.9824,25.1389,1.19E+01,1.0895,0.3914,0.7995,215.771,79.742
22.387,11.3702,32.9833,25.1395,1.13E+01,1.1703,0.3678,0.8001,215.3,79.569
22.724,11.3714,32.983,25.1391,1.06E+01,1.1703,0.3678,0.8019,214.433,79.25
23.049,11.3719,32.9841,25.1399,9.98E+00,1.0689,0.4017,0.8023,213.692,78.978
23.331,11.3709,32.9843,25.1402,9.44E+00,1.0612,0.4048,0.8025,212.988,78.716
23.629,11.3711,32.9839,25.1399,8.95E+00,1.0994,0.3853,0.7932,212.855,78.667
23.92,11.3711,32.9842,25.1401,8.51E+00,1.1093,0.3804,0.7938,213.668,78.967
24.205,11.3715,32.9845,25.1403,8.16E+00,1.0521,0.3804,0.7965,214.789,79.383
24.533,11.3709,32.9862,25.1417,7.78E+00,1.0239,0.3804,0.7908,215.528,79.656
24.915,11.3712,32.9875,25.1427,7.28E+00,1.0574,0.3937,0.7867,215.689,79.717
25.294,11.3715,32.9884,25.1433,6.76E+00,1.0849,0.4044,0.7965,215.358,79.595
25.632,11.3725,32.9889,25.1435,6.37E+00,1.1002,0.4044,0.7977,214.951,79.447
25.918,11.3769,32.9906,25.1441,6.05E+00,1.1215,0.4048,0.7959,214.608,79.328
26.197,11.378,32.9919,25.1449,5.77E+00,1.1139,0.4082,0.7938,214.341,79.232
26.512,11.3782,32.9928,25.1456,5.48E+00,1.0971,0.4166,0.7923,214.184,79.175
26.91,11.3785,32.993,25.1457,5.13E+00,1.0963,0.4147,0.7924,214.314,79.224
27.378,11.3796,32.9938,25.1461,4.68E+00,1.0971,0.4048,0.7919,214.185,79.178
27.791,11.3785,32.9992,25.1505,4.30E+00,1.0956,0.4044,0.7912,213.757,79.021
28.054,11.3687,33.0083,25.1594,4.09E+00,1.0483,0.3987,0.794,213.697,78.988
28.247,11.3677,33.0074,25.1589,3.95E+00,1.049,0.3987,0.7966,213.811,79.028
28.488,11.3665,33.0082,25.1597,3.79E+00,0.9933,0.3872,0.7919,213.892,79.056
28.849,11.3613,33.0101,25.1622,3.58E+00,0.988,0.3861,0.7905,213.76,79
29.345,11.3455,33.0181,25.1712,3.26E+00,1.0452,0.3956,0.7908,213.379,78.837
29.839,11.3398,33.0211,25.1746,2.96E+00,1.0605,0.3987,0.7982,212.999,78.689
30.149,11.34,33.0212,25.1747,2.82E+00,0.9804,0.4223,0.8081,212.905,78.655
30.294,11.3406,33.0214,25.1747,2.76E+00,0.9399,0.4349,0.8063,212.657,78.564
30.51,11.3398,33.0239,25.1768,2.68E+00,0.9216,0.4223,0.8053,212.532,78.518
30.928,11.3327,33.0305,25.1833,2.51E+00,0.9071,0.4109,0.8063,212.943,78.662
31.48,11.3231,33.0355,25.1889,2.26E+00,0.8926,0.4155,0.8063,213.611,78.895
31.998,11.3137,33.0416,25.1953,2.05E+00,0.8697,0.4227,0.8059,214.092,79.061
32.4,11.3066,33.0445,25.1989,1.93E+00,0.8568,0.4262,0.8196,213.494,78.83
32.736,11.3037,33.0458,25.2004,1.85E+00,0.8209,0.4349,0.826,212.332,78.397
33.069,11.3018,33.0466,25.2014,1.74E+00,0.8263,0.4399,0.8113,210.779,77.821
33.439,11.301,33.0461,25.2012,1.64E+00,0.8575,0.4696,0.8094,209.763,77.444
33.862,11.2949,33.05,25.2053,1.52E+00,0.856,0.4696,0.8063,209.369,77.291
34.253,11.2869,33.0533,25.2093,1.41E+00,0.7843,0.4693,0.809,208.839,77.084
34.579,11.2853,33.0532,25.2095,1.34E+00,0.7843,0.4693,0.811,208.12,76.816
34.949,11.277,33.0587,25.2153,1.25E+00,0.872,0.486,0.8125,207.48,76.569
35.362,11.2245,33.0925,25.251,1.15E+00,0.882,0.488,0.8113,206.945,76.305
35.745,11.1921,33.109,25.2697,1.08E+00,0.7873,0.5021,0.8064,206.262,76.01
36.085,11.1876,33.112,25.2729,1.01E+00,0.7599,0.5059,0.8115,205.43,75.698
36.495,11.1741,33.126,25.2861,9.42E-01,0.6645,0.5059,0.8146,203.95,75.139
36.983,11.1654,33.1375,25.2967,8.64E-01,0.6119,0.5063,0.8213,202.399,74.56
37.398,11.161,33.1425,25.3014,7.91E-01,0.5737,0.4998,0.8226,201.837,74.349
37.687,11.1498,33.1511,25.3101,7.50E-01,0.5386,0.4937,0.8251,201.687,74.28
38.004,11.1464,33.1661,25.3223,7.07E-01,0.5043,0.4841,0.8208,201.547,74.231
38.453,11.1454,33.1839,25.3364,6.57E-01,0.4524,0.4696,0.8168,200.846,73.981
38.962,11.1423,33.1901,25.3418,5.94E-01,0.4326,0.4693,0.8136,200.119,73.711
39.396,11.1442,33.1904,25.3417,5.53E-01,0.3784,0.4693,0.8113,199.394,73.447
39.737,11.145,33.1955,25.3455,5.23E-01,0.3754,0.4651,0.8027,198.846,73.249
40.084,11.1334,33.2077,25.3571,4.92E-01,0.3548,0.4406,0.7953,198.21,73.003
40.509,11.1327,33.2094,25.3586,4.57E-01,0.3555,0.441,0.788,197.377,72.697
41.003,11.1389,33.2139,25.3609,4.17E-01,0.3914,0.4509,0.7778,197.22,72.65
41.461,11.1452,33.2206,25.365,3.85E-01,0.3914,0.4509,0.7747,197.33,72.704
41.81,11.155,33.221,25.3636,3.65E-01,0.3692,0.4311,0.77,197.119,72.642
42.113,11.1741,33.2259,25.364,3.45E-01,0.367,0.4284,0.7653,196.062,72.284
42.482,11.1814,33.2342,25.3691,3.30E-01,0.3853,0.4097,0.7589,194.43,71.698
42.928,11.1842,33.2392,25.3725,3.01E-01,0.3914,0.4044,0.7467,193.043,71.193
43.406,11.1322,33.2632,25.4006,2.72E-01,0.399,0.3766,0.7415,192.125,70.788
43.789,11.1077,33.2504,25.395,2.56E-01,0.4036,0.3617,0.7233,191.508,70.518
44.062,11.0966,33.2526,25.3987,2.42E-01,0.3898,0.3838,0.7208,191.67,70.562
44.324,11.0549,33.2646,25.4155,2.31E-01,0.3784,0.4044,0.7159,192.014,70.632
44.63,10.9226,33.2925,25.4607,2.16E-01,0.3639,0.4117,0.7174,192.687,70.695
44.97,10.8317,33.2977,25.4808,2.01E-01,0.3418,0.4227,0.7175,193.781,70.962
45.354,10.8057,33.2892,25.4788,1.91E-01,0.328,0.4723,0.7328,196.61,71.954
45.778,10.784,33.293,25.4856,1.74E-01,0.293,0.6035,0.7502,201.239,73.616
46.188,10.7671,33.2937,25.4891,1.54E-01,0.2869,0.6115,0.7862,205.86,75.28
46.515,10.7617,33.2933,25.4897,1.42E-01,0.2556,0.6585,0.8268,208.955,76.403
46.767,10.7535,33.2939,25.4916,1.37E-01,0.2556,0.6577,0.8515,209.895,76.733
47.016,10.75,33.2919,25.4907,1.30E-01,0.2556,0.6218,0.8841,208.798,76.325
47.346,10.7339,33.2987,25.4988,1.19E-01,0.2556,0.6218,0.8845,205.911,75.248
47.776,10.7312,33.2935,25.4952,1.09E-01,0.2663,0.7042,0.8809,202.632,74.043
48.247,10.7246,33.2981,25.5,9.30E-02,0.2678,0.7134,0.8957,199.949,73.055
48.666,10.7026,33.3016,25.5065,8.17E-02,0.2678,0.7516,0.9056,198.12,72.354
49.012,10.6911,33.303,25.5096,7.25E-02,0.2678,0.7626,0.9212,196.975,71.919
49.415,10.6741,33.3077,25.5163,6.72E-02,0.2518,0.7664,0.9247,195.77,71.456
49.867,10.6495,33.3154,25.5266,6.04E-02,0.2434,0.7687,0.9293,194.137,70.826
50.24,10.6384,33.3133,25.5269,4.84E-02,0.2434,0.7947,0.9416,192.586,70.242
50.529,10.6328,33.314,25.5285,4.32E-02,0.2434,0.8175,0.9526,191.548,69.856
50.902,10.6323,33.3129,25.5277,3.84E-02,0.2388,0.8175,0.9633,190.859,69.603
51.367,10.6249,33.3155,25.531,2.88E-02,0.2312,0.8179,0.9697,189.855,69.228
51.768,10.6147,33.3193,25.5358,2.21E-02,0.2342,0.8481,0.9928,188.325,68.657
52.018,10.6052,33.3202,25.5381,2.03E-02,0.2434,0.927,1.0008,187.537,68.356
52.267,10.6025,33.3203,25.5387,1.85E-02,0.2395,0.9167,1.0094,187.386,68.297
52.608,10.6007,33.3196,25.5385,1.04E-02,0.2189,0.8584,1.0156,186.972,68.143
53.041,10.5997,33.3199,25.5389,6.40E-03,0.2197,0.8607,1.0173,185.859,67.736
53.532,10.5962,33.32,25.5396,1.17E-04,0.2556,0.9335,1.0203,184.756,67.329
53.94,10.5972,33.3199,25.5393,1.17E-04,0.2556,0.9335,1.0274,184.715,67.315
54.222,10.5953,33.3195,25.5393,1.02E-04,0.2106,0.9389,1.0353,185.887,67.74
54.502,10.5921,33.3209,25.541,1.02E-04,0.206,0.9396,1.0278,187.115,68.183
54.869,10.5891,33.3207,25.5414,8.76E-05,0.206,0.8492,1.0244,187.379,68.275
55.289,10.5872,33.3214,25.5422,8.76E-05,0.206,0.8236,1.0174,186.37,67.905
55.715,10.586,33.3213,25.5423,8.76E-05,0.2067,0.8916,1.0174,185.179,67.469
56.141,10.5764,33.3262,25.5478,8.76E-05,0.206,0.927,1.0168,184.921,67.364
56.512,10.5687,33.3273,25.55,8.76E-05,0.2067,0.9373,1.0224,185.157,67.439
56.8,10.5678,33.3267,25.5498,8.76E-05,0.206,0.9461,1.0247,185.801,67.672
57.078,10.5633,33.3293,25.5526,8.76E-05,0.2113,0.9156,1.0269,186.127,67.786
57.448,10.5479,33.3348,25.5595,8.76E-05,0.2182,0.8713,1.0259,185.775,67.638
57.885,10.5366,33.3388,25.5646,8.76E-05,0.2151,0.9095,1.0255,185.209,67.417
58.261,10.5331,33.343,25.5685,8.76E-05,0.206,1.0079,1.0419,184.712,67.234
58.574,10.5355,33.3454,25.57,8.76E-05,0.2098,0.9961,1.0513,184.66,67.219
58.869,10.5361,33.3456,25.5701,8.76E-05,0.2304,0.9331,1.0734,184.972,67.334
59.189,10.5386,33.3461,25.57,8.76E-05,0.2296,0.9316,1.072,184.769,67.264
59.609,10.5412,33.3468,25.5701,8.76E-05,0.1938,0.8771,1.0674,183.777,66.906
60.167,10.5435,33.3489,25.5713,8.76E-05,0.1938,0.8771,1.0494,182.877,66.583
60.646,10.5426,33.3494,25.5719,8.76E-05,0.1823,0.9053,1.0383,182.938,66.604
60.883,10.5425,33.3489,25.5715,8.76E-05,0.1816,0.9083,1.0316,183.821,66.925
60.948,10.5429,33.3488,25.5713,8.76E-05,0.1816,0.8423,1.0292,184.837,67.296
61.086,10.5435,33.349,25.5715,8.76E-05,0.1816,0.824,1.0239,184.475,67.165
61.485,10.5543,33.3499,25.5703,8.76E-05,0.1739,0.763,1.0212,182.121,66.324
62.063,10.5645,33.3509,25.5693,7.26E-05,0.1694,0.7321,1.0186,179.596,65.419
62.56,10.5926,33.3596,25.5712,8.76E-05,0.1823,0.7649,1.0022,178.943,65.224
62.797,10.5944,33.3656,25.5756,8.76E-05,0.1938,0.7931,0.9952,180.618,65.84
62.968,10.5962,33.3652,25.575,8.76E-05,0.1938,0.7329,0.9769,183.03,66.722
63.271,10.5982,33.3678,25.5766,8.76E-05,0.1938,0.6466,0.967,183.986,67.074
63.753,10.5993,33.3673,25.5761,8.76E-05,0.1907,0.6516,0.9576,182.606,66.572
64.247,10.6097,33.37,25.5764,8.76E-05,0.1816,0.665,0.8958,181.019,66.01
64.562,10.6132,33.3723,25.5776,8.76E-05,0.1816,0.6627,0.8818,181.281,66.111
64.721,10.6154,33.3729,25.5777,8.76E-05,0.1816,0.6527,0.8734,183.169,66.803
64.906,10.6185,33.3725,25.5768,8.76E-05,0.1816,0.6463,0.8727,185.275,67.576
65.149,10.644,33.3723,25.5722,8.76E-05,0.1701,0.4693,0.8727,185.544,67.711
65.428,10.6821,33.3845,25.5751,8.76E-05,0.1694,0.4693,0.8665,184.379,67.346
65.702,10.6979,33.3998,25.5843,8.76E-05,0.1694,0.5139,0.8631,183.895,67.199
65.986,10.7056,33.403,25.5854,8.76E-05,0.1694,0.5181,0.8446,184.581,67.462
66.355,10.7124,33.4127,25.5918,8.76E-05,0.2182,0.4094,0.8363,186.004,67.997
66.8,10.7028,33.4123,25.5931,8.76E-05,0.2312,0.38,0.824,187.103,68.385
67.167,10.6983,33.4219,25.6014,7.26E-05,0.1892,0.3758,0.7847,187.621,68.572
67.458,10.6756,33.4119,25.5976,8.76E-05,0.1686,0.3739,0.7701,188.13,68.72
67.765,10.6683,33.4146,25.601,7.26E-05,0.1625,0.3636,0.754,188.668,68.907
68.106,10.6605,33.4144,25.6022,8.76E-05,0.1564,0.3556,0.7493,188.855,68.964
68.461,10.644,33.4096,25.6014,8.76E-05,0.1671,0.3884,0.7418,188.802,68.918
68.831,10.6345,33.4082,25.6019,8.76E-05,0.1816,0.4345,0.7473,189.444,69.137
69.152,10.6205,33.4106,25.6063,7.26E-05,0.1884,0.4498,0.7503,191.07,69.711
69.395,10.6182,33.4036,25.6011,7.26E-05,0.206,0.4872,0.7624,192.778,70.328
69.698,10.6067,33.4034,25.603,7.26E-05,0.2014,0.4925,0.7671,193.921,70.727
70.11,10.6431,33.3986,25.593,8.76E-05,0.1808,0.5181,0.7782,193.851,70.754
70.449,10.6535,33.4481,25.6297,7.26E-05,0.1793,0.5135,0.8012,193.423,70.638
70.559,10.652,33.4461,25.6285,8.76E-05,0.1488,0.404,0.8151,193.743,70.752
70.609,10.6527,33.4465,25.6286,7.26E-05,0.148,0.404,0.819,194.096,70.882
70.849,10.6524,33.4465,25.6287,7.26E-05,0.1373,0.3315,0.8142,193.411,70.632
71.355,10.6472,33.4502,25.6325,7.26E-05,0.1358,0.3251,0.7987,191.326,69.864
71.916,10.6472,33.4522,25.6341,7.26E-05,0.1518,0.5456,0.7687,189.55,69.217
72.137,10.6503,33.454,25.6349,8.76E-05,0.1564,0.6035,0.7469,189.371,69.157
72.132,10.6485,33.4548,25.6359,8.76E-05,0.1976,0.3972,0.7208,190.495,69.565
72.322,10.6439,33.4552,25.637,8.76E-05,0.2182,0.2949,0.7176,191.402,69.89
72.776,10.6083,33.4619,25.6485,8.76E-05,0.1732,0.2949,0.7199,190.921,69.664
73.302,10.5889,33.4544,25.646,8.76E-05,0.1358,0.2949,0.7155,190.449,69.459
73.72,10.5789,33.4532,25.6468,8.76E-05,0.1709,0.3254,0.7104,191.145,69.698
73.983,10.5746,33.4513,25.646,8.76E-05,0.2182,0.3674,0.7229,192.986,70.362
74.162,10.5731,33.4509,25.646,8.76E-05,0.2174,0.3533,0.7252,194.74,70.999
74.35,10.5681,33.4504,25.6464,8.76E-05,0.2182,0.3193,0.725,195.069,71.111
74.681,10.5556,33.4528,25.6505,8.76E-05,0.2136,0.3254,0.7189,193.722,70.602
75.187,10.5426,33.4521,25.6522,8.76E-05,0.1938,0.3556,0.7117,192.272,70.054
75.667,10.5121,33.4574,25.6617,8.76E-05,0.1907,0.3579,0.7228,192.109,69.952
75.88,10.5047,33.4535,25.6599,8.76E-05,0.1358,0.4105,0.7267,193.179,70.328
75.916,10.5042,33.4526,25.6593,8.76E-05,0.1358,0.4101,0.7328,194.448,70.789
76.029,10.5055,33.4525,25.659,8.76E-05,0.1243,0.3541,0.7358,194.434,70.786
76.369,10.5047,33.4546,25.6608,7.26E-05,0.1236,0.3491,0.7401,192.258,69.993
76.898,10.5031,33.4554,25.6617,7.26E-05,0.1503,0.388,0.7403,189.494,68.985
77.42,10.5035,33.4554,25.6616,7.26E-05,0.1564,0.3979,0.741,188.364,68.574
77.652,10.5038,33.4553,25.6615,7.26E-05,0.1564,0.668,0.7574,188.952,68.789
77.707,10.5034,33.4557,25.6619,8.76E-05,0.1571,0.7992,0.757,190.316,69.285
77.925,10.5033,33.4552,25.6615,8.76E-05,0.1518,0.5494,0.7554,190.804,69.462
78.389,10.5034,33.4557,25.6619,8.76E-05,0.1488,0.3434,0.7509,189.686,69.056
78.894,10.5017,33.4561,25.6626,8.76E-05,0.1488,0.3914,0.7487,188.389,68.581
79.172,10.5032,33.455,25.6614,8.76E-05,0.1488,0.4571,0.7587,188.031,68.452
79.325,10.5011,33.456,25.6625,8.76E-05,0.1503,0.4357,0.7558,188.358,68.569
79.595,10.4987,33.4558,25.6628,7.26E-05,0.1564,0.3861,0.7482,188.621,68.661
79.944,10.4972,33.4553,25.6627,8.76E-05,0.1549,0.3861,0.7446,188.169,68.494
80.244,10.4961,33.4554,25.663,8.76E-05,0.148,0.3857,0.7422,187.583,68.279
80.483,10.4955,33.4553,25.663,7.26E-05,0.1488,0.3888,0.7449,187.94,68.408
80.737,10.4988,33.4543,25.6617,8.76E-05,0.1564,0.441,0.7445,188.552,68.635
80.993,10.4965,33.4558,25.6632,8.76E-05,0.1564,0.4406,0.7427,189.045,68.812
81.222,10.4971,33.4539,25.6617,7.26E-05,0.1488,0.4181,0.7418,189.237,68.882
81.522,10.4987,33.4553,25.6625,7.26E-05,0.148,0.4162,0.7412,189.347,68.925
82.02,10.4973,33.4554,25.6628,8.76E-05,0.1381,0.8355,0.7417,189.288,68.902
82.487,10.4853,33.4579,25.6668,8.76E-05,0.1358,0.9396,0.7452,189.266,68.877
82.624,10.4826,33.454,25.6642,8.76E-05,0.1442,0.6024,0.7559,189.515,68.962
82.646,10.4825,33.4542,25.6644,8.76E-05,0.1472,0.441,0.7557,189.606,68.995
82.92,10.4797,33.4548,25.6654,8.76E-05,0.1526,0.4006,0.7553,189.297,68.879
83.448,10.4639,33.4582,25.6708,8.76E-05,0.1556,0.3678,0.7552,188.073,68.412
84.071,10.4542,33.453,25.6684,7.26E-05,0.1564,0.4063,0.7581,186.806,67.934
84.507,10.4394,33.4563,25.6735,8.76E-05,0.1564,0.4574,0.7708,186.592,67.836
84.597,10.4399,33.4493,25.668,8.76E-05,0.1465,0.4834,0.7827,187.331,68.103
84.605,10.4576,33.4473,25.6634,8.76E-05,0.1236,0.5429,0.7952,188.215,68.449
84.809,10.4412,33.4583,25.6748,7.26E-05,0.1259,0.5284,0.7826,188.051,68.371
85.258,10.3936,33.4585,25.6832,7.26E-05,0.1358,0.4632,0.7822,186.934,67.895
85.728,10.3627,33.4545,25.6853,8.76E-05,0.135,0.475,0.8023,186.299,67.618
85.945,10.3601,33.4472,25.6801,8.76E-05,0.1236,0.6898,0.825,186.514,67.689
86.005,10.353,33.4472,25.6813,8.76E-05,0.1236,0.6894,0.8556,187.657,68.093
86.164,10.3515,33.4459,25.6805,8.76E-05,0.1236,0.6211,0.8519,188.503,68.397
86.497,10.3532,33.4455,25.68,8.76E-05,0.1236,0.6157,0.8534,188.038,68.231
86.973,10.3384,33.4476,25.6841,8.76E-05,0.1037,0.7046,0.887,187.637,68.065
87.412,10.3126,33.4473,25.6884,8.76E-05,0.0992,0.726,0.9104,187.781,68.079
87.707,10.3014,33.442,25.6862,8.76E-05,0.1472,0.829,0.9512,188.316,68.254
87.952,10.3123,33.4421,25.6844,8.76E-05,0.1686,0.8774,0.9693,188.497,68.336
88.24,10.238,33.4544,25.7066,8.76E-05,0.1617,0.9499,0.9767,187.983,68.047
88.579,10.2225,33.4337,25.6931,8.76E-05,0.1564,1.0079,0.991,186.678,67.542
88.929,10.2044,33.4386,25.7,8.76E-05,0.1472,1.0426,1.0014,185.677,67.156
