Depth (M),Temp (deg C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance,Fluorescence (mg/m^3),Turbidity (NTU),Beam Attenuation,Oxygen (umol/kg),Oxygen (% sat)
89.322,10.1946,33.4352,25.6991,8.76E-05,0.1365,1.0884,1.0222,185.494,67.074
89.775,10.1865,33.4358,25.7009,8.76E-05,0.1282,1.1788,1.1092,185.685,67.131
90.122,10.1837,33.4359,25.7014,7.26E-05,0.1114,1.3825,1.1602,185.854,67.189
90.282,10.1835,33.4353,25.701,8.76E-05,0.1175,1.3726,1.267,185.776,67.16
90.434,10.1834,33.4349,25.7008,8.76E-05,0.1472,1.3276,1.2778,185.139,66.929
90.736,10.1826,33.4347,25.7007,8.76E-05,0.148,1.3291,1.2992,183.459,66.32
91.203,10.1772,33.4367,25.7032,8.76E-05,0.1556,1.3585,1.3054,181.254,65.517
91.727,10.1758,33.4374,25.704,8.76E-05,0.1556,1.3581,1.3094,179.681,64.947
92.117,10.166,33.445,25.7116,8.76E-05,0.148,1.6824,1.3966,179.305,64.801
92.331,10.1534,33.4452,25.7139,8.76E-05,0.1472,1.7068,1.4118,179.792,64.959
92.595,10.1501,33.4447,25.714,8.76E-05,0.1472,1.5496,1.4307,179.995,65.027
92.976,10.1449,33.4463,25.7162,8.76E-05,0.148,1.5118,1.4335,179.092,64.694
93.451,10.1402,33.4455,25.7163,7.26E-05,0.1533,1.7998,1.4358,177.258,64.025
93.899,10.1394,33.4452,25.7163,8.76E-05,0.1556,1.9349,1.5302,176.014,63.575
94.195,10.1393,33.4443,25.7156,8.76E-05,0.1442,1.9147,1.5555,176.021,63.577
94.314,10.1396,33.4445,25.7157,8.76E-05,0.135,1.8983,1.6014,177.034,63.943
94.501,10.1398,33.4445,25.7157,8.76E-05,0.1404,1.7266,1.6011,177.667,64.172
94.951,10.14,33.4447,25.7158,7.26E-05,0.148,1.4992,1.6008,176.963,63.918
95.578,10.1399,33.4448,25.716,8.76E-05,0.1533,1.6007,1.6072,176.014,63.575
96.058,10.1403,33.4462,25.717,8.76E-05,0.1678,1.8304,1.6111,175.898,63.535
96.196,10.1404,33.4468,25.7174,8.76E-05,0.164,1.7819,1.6274,176.299,63.68
96.294,10.1406,33.446,25.7168,8.76E-05,0.148,1.5614,1.6133,176.74,63.839
96.569,10.1409,33.4473,25.7177,8.76E-05,0.1472,1.55,1.5963,176.383,63.711
97.027,10.1407,33.4509,25.7206,8.76E-05,0.1472,1.3516,1.5764,175.312,63.326
97.551,10.1371,33.4532,25.723,7.26E-05,0.1472,1.3524,1.56,174.896,63.172
97.95,10.1331,33.4549,25.725,7.26E-05,0.1365,1.5813,1.4555,175.621,63.428
98.205,10.1308,33.4552,25.7256,8.76E-05,0.1358,1.598,1.4401,177.235,64.009
98.495,10.1269,33.4568,25.7276,7.26E-05,0.1358,1.355,1.4162,178.546,64.477
98.848,10.1268,33.4556,25.7266,8.76E-05,0.135,1.2971,1.3896,178.408,64.427
99.241,10.1258,33.456,25.7271,8.76E-05,0.1434,1.2883,1.3775,177.139,63.967
99.701,10.1219,33.4577,25.7292,7.26E-05,0.1472,1.2845,1.2758,175.654,63.426
100.176,10.1181,33.4576,25.7297,7.26E-05,0.1335,1.3016,1.276,175.093,63.219
100.527,10.1163,33.4575,25.7299,7.26E-05,0.1228,1.3158,1.2757,175.946,63.524
100.708,10.1168,33.4573,25.7297,8.76E-05,0.1175,1.2765,1.2674,177.454,64.069
100.886,10.1147,33.4582,25.7308,8.76E-05,0.1106,1.2253,1.2635,178.358,64.393
101.045,10.1114,33.4579,25.7311,7.26E-05,0.1144,1.1716,1.2645,177.805,64.189
101.173,10.1115,33.4577,25.7309,7.26E-05,0.1228,1.0518,1.266,175.967,63.525
101.263,10.1107,33.4579,25.7312,7.26E-05,0.1182,1.0502,1.2689,174.019,62.821
101.162,10.1108,33.457,25.7305,7.26E-05,0.0976,1.0453,1.2592,172.597,62.307
101.002,10.1121,33.4575,25.7306,8.76E-05,0.0999,1.0419,1.2539,172.23,62.177
101.031,10.1102,33.4577,25.7312,8.76E-05,0.1228,0.9831,1.2547,172.417,62.242
101.234,10.1084,33.4574,25.7312,8.76E-05,0.1228,0.9831,1.2545,172.336,62.21
101.413,10.1084,33.4578,25.7315,8.76E-05,0.1533,1.0872,1.2525,172.422,62.241
101.4,10.1078,33.4584,25.7321,8.76E-05,0.1556,1.0945,1.258,173.143,62.501
101.261,10.1078,33.4584,25.7321,8.76E-05,0.1289,1.0544,1.2622,174.035,62.823
101.203,10.1076,33.4582,25.732,8.76E-05,0.1228,1.0449,1.2582,173.641,62.681
101.318,10.1078,33.4581,25.7318,8.76E-05,0.1137,1.0537,1.2594,171.654,61.964
101.451,10.1081,33.4583,25.7319,7.26E-05,0.1106,1.0575,1.2639,169.674,61.249
101.372,10.1085,33.4583,25.7319,7.26E-05,0.1175,1.0609,1.2653,169.324,61.123
101.071,10.109,33.458,25.7316,8.76E-05,0.1228,1.0636,1.267,170.329,61.487
100.83,10.1089,33.4577,25.7313,7.26E-05,0.1373,1.0609,1.2693,171.269,61.826
100.894,10.1084,33.4575,25.7313,8.76E-05,0.1556,1.0575,1.2693,171.611,61.949
101.197,10.1084,33.4573,25.7311,8.76E-05,0.1488,1.0922,1.2689,171.547,61.925
101.446,10.1082,33.4578,25.7315,8.76E-05,0.135,1.1689,1.2795,172.112,62.129
101.266,10.1089,33.4574,25.7311,7.26E-05,0.1304,1.1655,1.2918,174.11,62.851
100.965,10.1091,33.4571,25.7308,8.76E-05,0.1098,1.1502,1.2976,176.439,63.692
100.867,10.1094,33.4567,25.7305,7.26E-05,0.1076,1.1479,1.299,177.317,64.009
100.873,10.1101,33.4562,25.7299,8.76E-05,0.0725,1.1067,1.2956,176.575,63.742
100.915,10.1108,33.4561,25.7298,8.76E-05,0.0732,1.1067,1.2958,175.038,63.188
100.859,10.1119,33.4555,25.7291,7.26E-05,0.1312,1.0895,1.2952,173.975,62.806
100.525,10.1126,33.4557,25.7291,8.76E-05,0.135,1.0884,1.2943,173.78,62.736
100.074,10.1162,33.4544,25.7275,7.26E-05,0.1144,1.0331,1.2924,173.718,62.718
99.831,10.1198,33.4539,25.7265,7.26E-05,0.1098,1.0201,1.2608,173.704,62.718
99.793,10.1269,33.4521,25.7239,7.26E-05,0.1358,1.0628,1.2631,174.066,62.857
99.771,10.1262,33.454,25.7255,8.76E-05,0.1472,1.0819,1.2663,174.694,63.084
99.626,10.1265,33.4528,25.7245,7.26E-05,0.1518,1.0647,1.2529,174.871,63.148
99.414,10.1288,33.4529,25.7242,8.76E-05,0.1556,1.0514,1.2465,174.282,62.938
99.278,10.1289,33.4531,25.7243,8.76E-05,0.135,1.0483,1.2521,173.556,62.676
99.142,10.1301,33.4525,25.7237,8.76E-05,0.1098,1.0453,1.2486,173.119,62.52
98.949,10.1299,33.4529,25.724,8.76E-05,0.1182,1.0293,1.2387,173.276,62.577
98.85,10.1302,33.4528,25.7239,8.76E-05,0.135,0.9957,1.2322,173.899,62.802
98.819,10.1309,33.4526,25.7236,8.76E-05,0.1297,1.0026,1.2283,174.415,62.989
98.688,10.1314,33.4525,25.7235,8.76E-05,0.1098,1.0331,1.2284,174.648,63.074
98.452,10.1314,33.4524,25.7233,7.26E-05,0.1098,1.0377,1.2309,174.728,63.103
98.221,10.1318,33.4524,25.7233,8.76E-05,0.1098,1.1132,1.2372,174.65,63.075
98.067,10.1322,33.4523,25.7232,7.26E-05,0.1106,1.1132,1.246,174.786,63.125
97.969,10.1329,33.4518,25.7226,7.26E-05,0.1098,1.2627,1.2519,175.08,63.231
97.843,10.134,33.4512,25.722,7.26E-05,0.1106,1.2723,1.2458,175.362,63.335
97.687,10.1361,33.4498,25.7205,8.76E-05,0.1404,1.2032,1.2497,174.865,63.157
97.509,10.1358,33.4504,25.7211,8.76E-05,0.1472,1.1876,1.2682,173.828,62.783
97.321,10.1369,33.4497,25.7203,8.76E-05,0.1388,1.0804,1.2877,172.994,62.483
97.12,10.1369,33.4497,25.7203,8.76E-05,0.135,1.0327,1.3062,173.002,62.486
96.959,10.1378,33.449,25.7196,8.76E-05,0.135,1.0892,1.32,173.877,62.803
96.789,10.1402,33.4476,25.7181,8.76E-05,0.135,1.1319,1.3265,174.538,63.044
96.555,10.1401,33.4479,25.7183,8.76E-05,0.1404,1.1265,1.3494,174.744,63.118
96.279,10.14,33.4477,25.7182,8.76E-05,0.1465,1.1193,1.371,174.629,63.077
96.036,10.1405,33.4468,25.7174,8.76E-05,0.1472,1.1315,1.3947,174.34,62.973
95.868,10.1403,33.4445,25.7157,8.76E-05,0.1472,1.1567,1.4649,174.353,62.976
95.711,10.1399,33.4431,25.7146,8.76E-05,0.1465,1.1716,1.4859,174.726,63.109
95.527,10.1399,33.4422,25.7139,8.76E-05,0.1472,1.2353,1.4991,175.238,63.294
95.242,10.1399,33.4427,25.7143,8.76E-05,0.1449,1.2406,1.5077,175.667,63.449
94.863,10.1399,33.4421,25.7138,8.76E-05,0.1228,1.3215,1.5205,175.658,63.445
94.524,10.1401,33.4415,25.7133,7.26E-05,0.1228,1.3215,1.5847,175.018,63.215
94.341,10.1403,33.4412,25.713,8.76E-05,0.135,1.426,1.61,174.418,62.998
94.195,10.1404,33.4407,25.7126,8.76E-05,0.135,1.4321,1.6451,174.042,62.862
93.877,10.1403,33.4406,25.7125,7.26E-05,0.135,1.4722,1.6361,174.026,62.856
93.429,10.1403,33.4405,25.7124,8.76E-05,0.135,1.4813,1.6207,174.128,62.893
93.101,10.141,33.4402,25.7121,8.76E-05,0.1488,1.4683,1.6199,174.253,62.939
92.917,10.1447,33.4392,25.7107,7.26E-05,0.1556,1.4626,1.6195,174.355,62.98
92.657,10.1573,33.4345,25.7049,7.26E-05,0.1556,1.4699,1.5867,174.304,62.976
92.259,10.1649,33.434,25.7032,8.76E-05,0.1556,1.4748,1.5563,173.887,62.836
91.879,10.1716,33.4324,25.7008,8.76E-05,0.1465,1.4695,1.4951,173.143,62.575
91.616,10.1728,33.4322,25.7005,8.76E-05,0.135,1.463,1.4649,172.747,62.434
91.364,10.1764,33.43,25.6981,8.76E-05,0.1411,1.418,1.4474,172.744,62.437
91.029,10.1789,33.4295,25.6973,7.26E-05,0.1556,1.3219,1.4367,172.983,62.526
90.621,10.1798,33.4294,25.697,8.76E-05,0.151,1.3085,1.4259,173.293,62.64
90.255,10.1808,33.4296,25.6971,7.26E-05,0.135,1.254,1.3947,173.167,62.595
89.942,10.1818,33.4286,25.6961,8.76E-05,0.1365,1.2513,1.366,173.022,62.544
89.626,10.1847,33.4264,25.6939,7.26E-05,0.1556,1.2124,1.3467,172.856,62.487
89.311,10.1884,33.4259,25.6928,7.26E-05,0.1556,1.2128,1.3413,172.634,62.411
89.063,10.1897,33.4259,25.6927,7.26E-05,0.1243,1.1658,1.3333,172.575,62.392
88.849,10.1925,33.4243,25.6908,7.26E-05,0.1228,1.1628,1.3078,172.64,62.418
88.579,10.196,33.4247,25.6906,8.76E-05,0.1228,1.1021,1.2983,172.954,62.536
88.166,10.2077,33.4192,25.6844,7.26E-05,0.1228,1.0888,1.29,173.365,62.699
87.68,10.2413,33.4153,25.6756,8.76E-05,0.1312,1.0674,1.2076,173.474,62.782
87.337,10.2624,33.424,25.6788,7.26E-05,0.135,1.0579,1.1768,173.364,62.774
87.104,10.2819,33.4211,25.6731,8.76E-05,0.1282,0.9694,1.0924,172.79,62.591
86.779,10.3147,33.4241,25.6699,8.76E-05,0.1228,0.9026,1.059,172.061,62.372
86.37,10.3403,33.4223,25.6641,8.76E-05,0.1228,0.8858,1.0247,171.39,62.162
86.033,10.3709,33.4283,25.6635,7.26E-05,0.1221,0.8652,0.9089,171.063,62.087
85.742,10.3931,33.4311,25.6619,8.76E-05,0.119,0.7851,0.8805,171.376,62.232
85.451,10.4236,33.4347,25.6594,8.76E-05,0.1098,0.6161,0.871,171.801,62.428
85.24,10.4281,33.4404,25.6631,8.76E-05,0.1152,0.6051,0.8567,172.336,62.631
85.107,10.4352,33.4415,25.6627,8.76E-05,0.135,0.5612,0.8385,172.788,62.806
84.826,10.4393,33.4421,25.6625,7.26E-05,0.1358,0.5547,0.8232,173.146,62.941
84.313,10.4453,33.4416,25.6611,7.26E-05,0.1472,0.4693,0.8178,173.479,63.071
83.744,10.4601,33.4421,25.6589,8.76E-05,0.1472,0.4693,0.8128,173.919,63.251
83.368,10.4626,33.4457,25.6613,7.26E-05,0.0999,0.4368,0.8103,174.619,63.51
83.224,10.4683,33.4456,25.6602,7.26E-05,0.0976,0.4349,0.8055,175.397,63.801
83.126,10.4684,33.448,25.662,7.26E-05,0.1083,0.4483,0.7982,176.417,64.174
82.947,10.4764,33.4444,25.6579,8.76E-05,0.1098,0.4509,0.7946,177.935,64.735
82.687,10.4742,33.4482,25.6612,7.26E-05,0.1098,0.4185,0.7795,179.62,65.347
82.384,10.4763,33.448,25.6606,8.76E-05,0.1098,0.4048,0.7768,181.253,65.944
82.076,10.4781,33.4481,25.6604,8.76E-05,0.1312,0.3937,0.7719,182.293,66.325
81.74,10.4812,33.4484,25.6601,8.76E-05,0.1472,0.3865,0.7545,182.397,66.367
81.318,10.4876,33.4471,25.658,7.26E-05,0.1472,0.3834,0.7448,182.116,66.274
80.946,10.4958,33.4482,25.6574,8.76E-05,0.1472,0.3796,0.7527,181.821,66.178
80.745,10.5003,33.4499,25.6579,8.76E-05,0.1472,0.3758,0.7516,181.956,66.234
80.609,10.5011,33.4508,25.6585,8.76E-05,0.1472,0.3678,0.7481,182.283,66.355
80.366,10.501,33.4518,25.6593,7.26E-05,0.1419,0.3663,0.7479,182.451,66.416
79.993,10.5011,33.4511,25.6587,8.76E-05,0.1228,0.3617,0.7485,182.533,66.446
79.635,10.5031,33.4512,25.6585,8.76E-05,0.1228,0.3624,0.741,182.543,66.453
79.417,10.5039,33.4517,25.6587,8.76E-05,0.1228,0.3739,0.7393,182.893,66.581
79.268,10.505,33.4514,25.6583,7.26E-05,0.1228,0.3739,0.7367,183.283,66.725
79.051,10.5051,33.4519,25.6587,8.76E-05,0.1228,0.351,0.7395,183.411,66.772
78.71,10.5033,33.4524,25.6593,8.76E-05,0.1228,0.3495,0.7413,183.299,66.729
78.311,10.5031,33.4518,25.6589,8.76E-05,0.1434,0.3495,0.7399,183.22,66.7
77.953,10.5034,33.4515,25.6586,7.26E-05,0.1472,0.3495,0.7442,183.543,66.817
77.708,10.5041,33.4514,25.6584,8.76E-05,0.1472,0.3666,0.7603,184.112,67.025
77.559,10.5044,33.4518,25.6587,8.76E-05,0.1472,0.3739,0.7481,184.508,67.17
77.348,10.5043,33.4523,25.6591,8.76E-05,0.1396,0.3773,0.7351,184.589,67.2
77.053,10.5033,33.4523,25.6592,7.26E-05,0.135,0.38,0.7378,184.247,67.074
76.774,10.503,33.4519,25.659,8.76E-05,0.1289,0.3609,0.7403,183.909,66.95
76.535,10.5029,33.4519,25.659,8.76E-05,0.1221,0.3376,0.7505,183.627,66.847
76.278,10.5031,33.4491,25.6567,8.76E-05,0.1335,0.3376,0.7486,183.37,66.753
76.01,10.509,33.4449,25.6525,8.76E-05,0.1549,0.3376,0.7457,182.786,66.547
75.765,10.5159,33.4435,25.6502,8.76E-05,0.1533,0.3438,0.7443,182.206,66.345
75.579,10.5261,33.4413,25.6467,8.76E-05,0.1465,0.3678,0.7442,182.068,66.308
75.315,10.5381,33.4394,25.6431,7.26E-05,0.148,0.3666,0.7461,182.794,66.588
74.919,10.5439,33.44,25.6426,7.26E-05,0.1671,0.356,0.7442,183.655,66.91
74.565,10.5569,33.4397,25.6401,8.76E-05,0.1671,0.3556,0.7425,183.586,66.904
74.404,10.5634,33.4421,25.6408,8.76E-05,0.1365,0.3613,0.7366,182.883,66.658
74.301,10.5652,33.4433,25.6414,7.26E-05,0.1343,0.3617,0.7339,182.577,66.55
74.123,10.5692,33.4434,25.6408,7.26E-05,0.1617,0.3514,0.7227,182.898,66.672
73.871,10.5681,33.4446,25.6419,8.76E-05,0.1671,0.3495,0.7211,183.443,66.87
73.55,10.5714,33.4428,25.6399,8.76E-05,0.1526,0.3708,0.7181,183.929,67.051
73.175,10.5797,33.4426,25.6383,7.26E-05,0.1465,0.38,0.7135,184.029,67.099
72.874,10.5904,33.4429,25.6367,8.76E-05,0.1396,0.3552,0.7118,183.866,67.055
72.719,10.6011,33.4394,25.6321,8.76E-05,0.1343,0.3373,0.7037,184.031,67.129
72.584,10.6371,33.4375,25.6243,8.76E-05,0.1495,0.3376,0.7038,184.355,67.298
72.317,10.6433,33.4449,25.6291,8.76E-05,0.1671,0.3373,0.7033,185.162,67.605
71.914,10.6477,33.4452,25.6285,7.26E-05,0.1633,0.3312,0.6995,185.87,67.87
71.531,10.6503,33.4451,25.628,8.76E-05,0.1549,0.3193,0.6972,186.103,67.959
71.264,10.6525,33.4444,25.6271,8.76E-05,0.1625,0.3193,0.7077,185.712,67.819
71.057,10.6604,33.4389,25.6214,8.76E-05,0.1922,0.3193,0.7107,185.068,67.593
70.838,10.6585,33.4365,25.6198,8.76E-05,0.1953,0.3171,0.7181,184.913,67.532
70.608,10.6542,33.4321,25.6172,8.76E-05,0.2289,0.2949,0.7197,185.153,67.611
70.419,10.6505,33.4289,25.6153,7.26E-05,0.2281,0.2953,0.7207,185.481,67.725
70.252,10.6456,33.4296,25.6167,8.76E-05,0.2754,0.301,0.752,185.887,67.866
69.993,10.6443,33.4182,25.608,8.76E-05,0.2777,0.301,0.7573,186.473,68.072
69.647,10.6505,33.4128,25.6027,7.26E-05,0.1846,0.3212,0.7614,187.56,68.476
69.348,10.6601,33.4096,25.5986,7.26E-05,0.1663,0.3254,0.7611,189.137,69.064
69.175,10.6617,33.4131,25.601,7.26E-05,0.1671,0.3598,0.7599,190.399,69.529
69.024,10.6943,33.3994,25.5846,8.76E-05,0.1671,0.3739,0.7358,190.809,69.72
68.814,10.7163,33.4129,25.5913,7.26E-05,0.1472,0.3666,0.7294,190.569,69.672
68.539,10.7074,33.4185,25.5972,7.26E-05,0.1343,0.3617,0.7181,190.059,69.475
68.28,10.7092,33.4166,25.5954,7.26E-05,0.2006,0.3674,0.7119,189.236,69.176
68.042,10.7149,33.4159,25.5938,8.76E-05,0.2777,0.3739,0.7052,188.276,68.833
67.744,10.7193,33.4174,25.5943,8.76E-05,0.2571,0.3701,0.7094,187.48,68.549
67.345,10.7219,33.4181,25.5943,8.76E-05,0.2167,0.3617,0.7098,186.906,68.343
66.941,10.7221,33.419,25.595,8.76E-05,0.2014,0.3487,0.7029,186.573,68.223
66.662,10.7126,33.4159,25.5943,8.76E-05,0.1465,0.301,0.7167,186.509,68.184
66.468,10.7083,33.4107,25.591,7.26E-05,0.1503,0.3029,0.7353,186.869,68.307
66.292,10.6979,33.4135,25.595,7.26E-05,0.1915,0.3254,0.7438,187.21,68.417
66.126,10.6698,33.4082,25.5957,8.76E-05,0.1915,0.3254,0.747,187.239,68.384
65.9,10.6457,33.3968,25.591,7.26E-05,0.1564,0.372,0.7538,187.272,68.356
65.578,10.6334,33.3933,25.5904,8.76E-05,0.1556,0.3743,0.7777,187.235,68.323
65.285,10.618,33.3812,25.5837,7.26E-05,0.1648,0.3689,0.8191,187.198,68.281
65.115,10.6141,33.3739,25.5787,8.76E-05,0.1671,0.3678,0.8605,187.869,68.516
64.951,10.6042,33.3751,25.5813,8.76E-05,0.1587,0.4403,0.8795,189.447,69.078
64.628,10.5981,33.3673,25.5763,8.76E-05,0.1549,0.4693,0.8768,190.919,69.602
64.188,10.5958,33.3645,25.5745,8.76E-05,0.1915,0.4765,0.8828,191.307,69.738
63.845,10.5971,33.3634,25.5734,8.76E-05,0.2167,0.4815,0.8944,190.535,69.458
63.676,10.5973,33.3636,25.5736,8.76E-05,0.193,0.5215,0.9061,189.911,69.231
63.512,10.59,33.3655,25.5762,7.26E-05,0.1671,0.5673,0.9129,190.103,69.291
63.229,10.5919,33.3587,25.5707,8.76E-05,0.1625,0.565,0.9194,189.821,69.188
62.842,10.5921,33.3619,25.5731,7.26E-05,0.1549,0.5612,0.9153,188.274,68.626
62.446,10.5868,33.3607,25.5731,8.76E-05,0.1602,0.5623,0.9014,186.756,68.064
62.137,10.5817,33.359,25.5726,7.26E-05,0.18,0.5673,0.9111,186.012,67.785
61.906,10.5794,33.358,25.5723,8.76E-05,0.1777,0.5681,0.9175,186.164,67.836
61.711,10.5724,33.3581,25.5736,7.26E-05,0.1549,0.5795,0.9276,186.073,67.793
61.498,10.5696,33.3563,25.5726,8.76E-05,0.1549,0.5795,0.93,185.071,67.423
61.227,10.566,33.355,25.5722,7.26E-05,0.1785,0.5852,0.9357,183.827,66.964
60.897,10.5642,33.3541,25.5718,8.76E-05,0.1793,0.5852,0.9425,182.99,66.656
60.523,10.5622,33.3528,25.5712,8.76E-05,0.1694,0.6058,0.9484,183.011,66.66
60.169,10.5601,33.3529,25.5715,7.26E-05,0.1678,0.61,0.9632,183.269,66.751
59.973,10.5567,33.3521,25.5715,8.76E-05,0.2029,0.61,0.9684,183.545,66.847
59.842,10.5534,33.351,25.5712,8.76E-05,0.2167,0.6096,0.9816,183.711,66.902
59.601,10.5486,33.3476,25.5694,8.76E-05,0.1945,0.6386,0.9836,183.659,66.874
59.28,10.5474,33.3469,25.5691,7.26E-05,0.1793,0.6589,0.9861,183.297,66.74
59.001,10.5451,33.3444,25.5676,8.76E-05,0.1907,0.6672,1.0183,182.826,66.565
58.789,10.5438,33.3435,25.5671,8.76E-05,0.2045,0.6768,1.0272,182.227,66.344
58.6,10.541,33.3426,25.5669,8.76E-05,0.1999,0.6772,1.0313,181.526,66.085
58.358,10.539,33.341,25.566,8.76E-05,0.1915,0.6772,1.0329,181.665,66.132
58.096,10.5389,33.3391,25.5645,8.76E-05,0.1861,0.6783,1.0355,182.126,66.298
57.862,10.5386,33.3367,25.5627,8.76E-05,0.1671,0.6833,1.0419,182.454,66.416
57.575,10.548,33.3285,25.5546,8.76E-05,0.1716,0.6882,1.0438,182.841,66.567
57.198,10.5628,33.3215,25.5465,8.76E-05,0.2167,0.7382,1.048,182.754,66.553
56.786,10.5722,33.3188,25.5428,8.76E-05,0.2159,0.7382,1.0421,182.117,66.333
56.418,10.5794,33.3166,25.5399,8.76E-05,0.2167,0.7737,1.0318,181.54,66.132
56.177,10.5826,33.3169,25.5396,8.76E-05,0.2167,0.7752,1.0324,181.184,66.007
56.038,10.5846,33.3162,25.5386,8.76E-05,0.1961,0.7439,1.0325,180.877,65.897
55.865,10.5875,33.3157,25.5378,8.76E-05,0.1922,0.7382,1.0329,180.807,65.876
55.549,10.5883,33.3158,25.5377,8.76E-05,0.1915,0.7382,1.0301,180.206,65.658
55.183,10.5894,33.3156,25.5373,8.76E-05,0.1922,0.7382,1.0247,179.124,65.265
54.932,10.591,33.3153,25.5368,8.76E-05,0.2281,0.7672,1.0291,178.469,65.029
54.78,10.592,33.315,25.5364,8.76E-05,0.2533,0.7874,1.0323,178.419,65.012
54.624,10.5941,33.3143,25.5355,8.76E-05,0.2357,0.7584,1.0353,178.804,65.154
54.403,10.5978,33.3132,25.534,8.76E-05,0.2167,0.726,1.0342,178.656,65.105
54.143,10.6002,33.3117,25.5324,8.76E-05,0.2075,0.7176,1.0331,177.782,64.79
53.861,10.6051,33.3108,25.5309,1.02E-03,0.1915,0.7016,1.0261,176.845,64.454
53.59,10.6103,33.3086,25.5282,1.47E-03,0.1915,0.7069,1.022,176.817,64.45
53.35,10.6127,33.3087,25.5279,8.46E-03,0.1922,0.726,1.0117,177.396,64.665
53.134,10.6141,33.309,25.5279,1.38E-02,0.2014,0.7279,1.0107,177.901,64.851
52.926,10.6161,33.3081,25.5268,1.15E-02,0.2907,0.7443,1.0109,178.596,65.106
52.682,10.6174,33.3083,25.5267,1.74E-02,0.2907,0.7443,1.0092,179.027,65.265
52.318,10.6215,33.3058,25.524,1.70E-02,0.2548,0.7088,1.0075,179.247,65.35
51.875,10.6254,33.3051,25.5228,2.65E-02,0.254,0.7077,1.0023,179.565,65.472
51.495,10.6351,33.3011,25.518,3.24E-02,0.264,0.718,0.9972,179.607,65.498
51.268,10.6458,33.2986,25.5142,3.98E-02,0.2655,0.7199,0.9789,179.718,65.552
51.18,10.6624,33.294,25.5077,4.27E-02,0.2388,0.7069,0.9722,180.085,65.708
51.073,10.6752,33.2905,25.5028,4.23E-02,0.2289,0.7016,0.9653,180.612,65.916
50.776,10.6817,33.2911,25.5021,4.50E-02,0.2289,0.6871,0.9629,180.535,65.897
50.357,10.6836,33.2916,25.5021,5.20E-02,0.2289,0.6772,0.9602,179.386,65.481
50.089,10.6882,33.2904,25.5004,5.66E-02,0.2235,0.6627,0.9456,178.392,65.124
50.018,10.6912,33.2899,25.4995,6.23E-02,0.2167,0.6466,0.9439,178.336,65.107
49.915,10.6946,33.2903,25.4992,6.68E-02,0.251,0.6871,0.9415,179.426,65.51
49.65,10.6987,33.2877,25.4964,7.05E-02,0.3151,0.763,0.9458,180.341,65.849
49.288,10.7141,33.2819,25.4892,7.97E-02,0.3036,0.7317,0.9443,180.25,65.835
48.983,10.7263,33.2818,25.487,8.87E-02,0.2663,0.6226,0.9138,179.852,65.706
48.713,10.7293,33.2807,25.4856,9.31E-02,0.267,0.6215,0.9099,179.662,65.641
48.379,10.7493,33.2772,25.4794,1.05E-01,0.2785,0.6161,0.9035,180.061,65.813
48.01,10.756,33.276,25.4773,1.10E-01,0.2777,0.6161,0.8991,180.596,66.017
47.705,10.7644,33.2757,25.4756,1.23E-01,0.2777,0.5749,0.8971,180.811,66.108
47.528,10.7707,33.2745,25.4735,1.29E-01,0.2777,0.5738,0.8891,180.992,66.182
47.403,10.7851,33.2688,25.4666,1.27E-01,0.2464,0.5738,0.8887,181.536,66.398
47.235,10.799,33.2668,25.4625,1.31E-01,0.2411,0.5738,0.8882,181.965,66.574
46.951,10.7963,33.2698,25.4653,1.42E-01,0.2769,0.5692,0.8858,181.34,66.343
46.542,10.8032,33.2664,25.4615,1.53E-01,0.2899,0.5673,0.8847,180.238,65.948
46.212,10.8227,33.2638,25.456,1.66E-01,0.2762,0.5456,0.8595,179.701,65.778
46.158,10.847,33.256,25.4456,1.69E-01,0.2663,0.5311,0.8492,180.149,65.972
46.171,10.822,33.2746,25.4645,1.65E-01,0.2663,0.528,0.8245,181.607,66.479
45.939,10.854,33.2506,25.4403,1.72E-01,0.2663,0.525,0.8382,182.684,66.908
45.402,10.93,33.2272,25.4086,1.91E-01,0.283,0.5227,0.8464,182.05,66.772
44.869,11.0162,33.2217,25.389,2.11E-01,0.3151,0.5185,0.7839,180.584,66.353
44.685,11.0567,33.2264,25.3855,2.21E-01,0.309,0.4998,0.7705,179.704,66.089
44.749,11.0696,33.2345,25.3895,2.17E-01,0.2899,0.4353,0.7412,180.212,66.298
44.672,11.0565,33.2427,25.3982,2.18E-01,0.2937,0.4292,0.7477,182.345,67.068
44.345,11.064,33.2301,25.387,2.26E-01,0.3265,0.3739,0.7522,183.568,67.522
43.943,11.0884,33.2308,25.3832,2.44E-01,0.3273,0.3743,0.7432,183.377,67.487
43.61,11.1028,33.2326,25.382,2.60E-01,0.3273,0.38,0.7379,182.88,67.326
43.481,11.1166,33.2322,25.3792,2.69E-01,0.3273,0.3804,0.7225,183.172,67.452
43.472,11.1112,33.2377,25.3845,2.70E-01,0.3792,0.3544,0.7251,184.648,67.991
43.324,11.12,33.2334,25.3795,2.71E-01,0.3883,0.3499,0.7277,186.514,68.689
42.99,11.1214,33.2298,25.3765,2.92E-01,0.3433,0.3499,0.7318,187.937,69.213
42.667,11.1267,33.2269,25.3733,3.11E-01,0.3265,0.3499,0.7336,188.914,69.579
42.455,11.1275,33.2272,25.3733,3.26E-01,0.3715,0.3392,0.7392,189.61,69.837
